Last Seen,Training Stage,Progress,Average Grade,First Name,Last Name,Email,Phone,City,Barriers
2025-07-29,Skills Training,91%,96%,Zoe,Ng,zoe.ng18@gmail.com,(545)232-6160,Springfield,None
2025-07-30,Skills Training,97%,99%,Virginia,Baker,virginia.baker19@gmail.com,(462)975-3456,Worcester,Community Support
2025-08-01,Job Searching,92%,93%,Theo,Scott,theo.scott20@yahoo.com,(754)821-8297,Springfield,None
2025-07-28,Job Searching,90%,89%,Angela,Weber,angela.weber21@hotmail.com,(217)858-9118,Worcester,None
2025-08-01,Job Searching,81%,100%,Jon,Bartlett,jon.bartlett22@yahoo.com,(326)405-3948,Springfield,Community Support
2025-08-01,Job Searching,88%,97%,Alex,Rivera,alex.rivera23@yahoo.com,(767)348-3230,Springfield,Community Support
2025-07-29,Job Searching,95%,87%,Paula,Green,paula.green24@hotmail.com,(979)741-2251,Boston,None
2025-07-31,Job Searching,87%,87%,Miguel,Martin,miguel.martin25@gmail.com,(573)531-5878,Worcester,None
2025-08-01,Job Searching,80%,86%,Brian,Lee,brian.lee26@hotmail.com,(287)681-3230,Boston,None
2025-07-28,Skills Training,86%,100%,David,Wagner,david.wagner27@yahoo.com,(689)217-2386,Boston,None
2025-07-29,Skills Training,81%,93%,George,Richardson,george.richardson28@gmail.com,(597)167-7570,Boston,None
2025-08-01,Job Searching,89%,90%,Kevin,Rice,kevin.rice29@outlook.com,(739)735-2767,Boston,None
2025-07-31,Job Searching,87%,98%,John,Watkins,john.watkins30@protonmail.com,(967)396-5941,Boston,None
2025-07-29,Job Searching,81%,92%,Jennifer,Payne,jennifer.payne31@hotmail.com,(653)431-3392,Springfield,None
2025-07-29,Skills Training,85%,100%,Javier,Johnston,javier.johnston32@gmail.com,(499)996-2330,Springfield,None
2025-08-01,Job Searching,83%,90%,Robert,Nelson,robert.nelson33@yahoo.com,(772)825-6519,Boston,None
2025-07-29,Skills Training,99%,90%,Daniel,Evans,daniel.evans34@hotmail.com,(347)602-6237,Boston,None
2025-07-31,Job Searching,99%,91%,Mark,Ross,mark.ross35@gmail.com,(365)116-1005,Boston,None
2025-07-30,Job Searching,93%,94%,Donald,Rich,donald.rich36@gmail.com,(209)741-2791,Worcester,None
2025-07-28,Job Searching,92%,93%,Danielle,Campos,danielle.campos37@protonmail.com,(324)292-1067,Worcester,None
2025-07-30,Job Searching,76%,80%,Amanda,Wilson,amanda.wilson38@protonmail.com,(415)534-3637,Boston,Housing Insecurity
2025-07-28,Job Searching,85%,86%,Carlos,Campbell,carlos.campbell39@hotmail.com,(905)318-1444,Springfield,Community Support
2025-08-01,Job Searching,78%,77%,Kelly,Taylor,kelly.taylor40@outlook.com,(968)921-6517,Boston,None
2025-07-30,Skills Training,76%,87%,Victor,Ellison,victor.ellison41@hotmail.com,(290)473-3614,Springfield,None
2025-07-29,Job Searching,74%,85%,Samuel,Alvarez,samuel.alvarez42@outlook.com,(376)290-2759,Boston,Community Support
2025-08-01,Job Searching,82%,93%,Jason,Hawkins,jason.hawkins43@hotmail.com,(391)738-4928,Springfield,None
2025-08-01,Job Searching,91%,93%,Ashley,Ramirez,ashley.ramirez44@outlook.com,(319)772-2233,Worcester,None
2025-07-29,Skills Training,90%,95%,Candace,Lin,candace.lin45@outlook.com,(307)490-3679,Boston,Community Support
2025-08-01,Skills Training,85%,75%,Sue,Peterson,sue.peterson46@protonmail.com,(500)764-1525,Worcester,None
2025-07-27,Skills Training,71%,84%,Diane,Tucker,diane.tucker47@yahoo.com,(785)120-5501,Springfield,None
2025-08-01,Skills Training,90%,93%,Ray,Jackson,ray.jackson48@gmail.com,(925)143-7040,Worcester,None
2025-07-25,Job Searching,95%,80%,Shelby,McGuire,shelby.mcguire49@protonmail.com,(456)427-9057,Springfield,None
2025-07-28,Job Searching,88%,88%,Laurie,Flores,laurie.flores50@protonmail.com,(669)677-2554,Boston,None
2025-07-30,Skills Training,76%,80%,Janet,Lewis,janet.lewis51@outlook.com,(735)930-6843,Boston,Community Support
2025-08-01,Skills Training,71%,76%,Brandon,Holloway,brandon.holloway52@outlook.com,(808)906-4150,Springfield,None
2025-07-28,Skills Training,92%,94%,Nina,Brown,nina.brown53@outlook.com,(258)142-8300,Boston,Community Support
2025-07-29,Job Searching,95%,88%,Monica,Nelson,monica.nelson54@hotmail.com,(805)875-9865,Worcester,Housing Insecurity
2025-07-27,Skills Training,93%,84%,Edward,Richards,edward.richards55@yahoo.com,(764)660-9207,Springfield,None
2025-07-25,Job Searching,79%,94%,Kimberly,Myers,kimberly.myers56@protonmail.com,(797)197-4362,Boston,None
2025-07-25,Job Searching,88%,85%,Erin,Hickman,erin.hickman57@outlook.com,(204)105-9058,Worcester,None
2025-07-28,Skills Training,74%,84%,Erica,Ray,erica.ray58@protonmail.com,(504)726-7568,Worcester,None
2025-07-28,Job Searching,95%,93%,James,Chen,james.chen59@yahoo.com,(428)753-3676,Boston,None
2025-07-27,Skills Training,89%,89%,Owen,Moore,owen.moore60@hotmail.com,(209)646-8936,Worcester,None
2025-07-23,Theory Training,35%,50%,Jose,Mack,jose.mack61@outlook.com,(310)312-4645,Worcester,Transportation
2025-07-20,Theory Training,20%,50%,Mary,Mcdonald,mary.mcdonald62@outlook.com,(889)796-4254,Springfield,Community Support
2025-07-17,Theory Training,27%,58%,Kendra,Peterson,kendra.peterson63@outlook.com,(445)974-1885,Springfield,Transportation
2025-07-21,Theory Training,15%,69%,Heidi,Dunn,heidi.dunn64@hotmail.com,(926)848-8215,Springfield,Housing Insecurity
2025-07-25,Theory Training,11%,65%,Maya,Patel,maya.patel65@protonmail.com,(972)725-8823,Worcester,Transportation
2025-07-17,Theory Training,20%,69%,Gloria,Young,gloria.young66@outlook.com,(704)503-8209,Worcester,Transportation
2025-07-25,Skills Training,30%,57%,Zoe,Ng,zoe.ng67@gmail.com,(740)678-7374,Springfield,Housing Insecurity
2025-07-14,Theory Training,12%,63%,Virginia,Baker,virginia.baker68@hotmail.com,(454)743-1513,Boston,Transportation
2025-07-24,Theory Training,32%,52%,Theo,Scott,theo.scott69@yahoo.com,(828)275-4586,Springfield,Transportation
2025-07-18,Theory Training,18%,56%,Angela,Weber,angela.weber70@gmail.com,(822)468-6133,Springfield,Transportation
2025-07-23,Skills Training,32%,53%,Jon,Bartlett,jon.bartlett71@protonmail.com,(635)682-2585,Springfield,Housing Insecurity
2025-07-22,Theory Training,30%,62%,Alex,Rivera,alex.rivera72@protonmail.com,(821)798-7099,Worcester,Transportation
2025-07-15,Theory Training,25%,63%,Paula,Green,paula.green73@outlook.com,(480)812-5651,Springfield,Transportation
2025-07-21,Theory Training,13%,63%,Miguel,Martin,miguel.martin74@outlook.com,(412)829-3616,Worcester,Transportation
2025-07-22,Theory Training,38%,52%,Brian,Lee,brian.lee75@outlook.com,(210)931-9048,Boston,Transportation
2025-07-17,Theory Training,31%,57%,David,Wagner,david.wagner76@protonmail.com,(546)242-1526,Springfield,Housing Insecurity
2025-07-20,Theory Training,31%,67%,George,Richardson,george.richardson77@hotmail.com,(845)528-6444,Worcester,Housing Insecurity
2025-07-24,Theory Training,20%,62%,Kevin,Rice,kevin.rice78@protonmail.com,(364)483-5143,Boston,Transportation
2025-07-22,Theory Training,28%,64%,John,Watkins,john.watkins79@gmail.com,(812)482-5938,Springfield,Housing Insecurity
2025-07-14,Theory Training,13%,57%,Jennifer,Payne,jennifer.payne80@gmail.com,(730)548-7491,Worcester,Transportation
2025-07-15,Skills Training,36%,67%,Javier,Johnston,javier.johnston81@outlook.com,(759)360-6047,Boston,Housing Insecurity
2025-07-19,Theory Training,30%,51%,Robert,Nelson,robert.nelson82@protonmail.com,(620)860-7382,Boston,Community Support
2025-07-24,Theory Training,18%,51%,Daniel,Evans,daniel.evans83@hotmail.com,(828)895-9005,Springfield,Housing Insecurity
2025-07-15,Theory Training,37%,64%,Mark,Ross,mark.ross84@protonmail.com,(741)412-7831,Springfield,Transportation
2025-07-18,Theory Training,25%,58%,Donald,Rich,donald.rich85@yahoo.com,(547)741-3596,Worcester,Transportation
2025-07-16,Theory Training,28%,56%,Danielle,Campos,danielle.campos86@hotmail.com,(312)771-1053,Springfield,Transportation
2025-07-17,Theory Training,31%,62%,Amanda,Wilson,amanda.wilson87@hotmail.com,(406)290-1022,Worcester,Transportation
2025-07-17,Theory Training,20%,57%,Carlos,Campbell,carlos.campbell88@outlook.com,(490)371-8156,Boston,Transportation
2025-07-19,Theory Training,37%,69%,Kelly,Taylor,kelly.taylor89@yahoo.com,(663)407-4879,Worcester,Transportation
2025-07-16,Skills Training,30%,50%,Victor,Ellison,victor.ellison90@outlook.com,(771)340-3352,Springfield,Housing Insecurity
2025-07-17,Skills Training,37%,67%,Samuel,Alvarez,samuel.alvarez91@yahoo.com,(909)288-8496,Worcester,Transportation
2025-07-23,Theory Training,35%,60%,Jason,Hawkins,jason.hawkins92@yahoo.com,(333)145-8533,Springfield,Housing Insecurity
2025-07-16,Theory Training,19%,65%,Ashley,Ramirez,ashley.ramirez93@hotmail.com,(756)607-3770,Springfield,Community Support
2025-07-21,Theory Training,27%,59%,Candace,Lin,candace.lin94@yahoo.com,(446)599-2297,Worcester,Community Support
2025-07-21,Theory Training,16%,67%,Sue,Peterson,sue.peterson95@hotmail.com,(675)349-1113,Worcester,Transportation
2025-07-19,Theory Training,21%,64%,Diane,Tucker,diane.tucker96@yahoo.com,(710)691-1480,Worcester,Transportation
2025-07-18,Theory Training,23%,53%,Ray,Jackson,ray.jackson97@protonmail.com,(432)502-3731,Boston,Transportation
2025-07-25,Theory Training,38%,52%,Shelby,McGuire,shelby.mcguire98@yahoo.com,(591)795-7196,Springfield,Housing Insecurity
2025-07-21,Theory Training,24%,62%,Laurie,Flores,laurie.flores99@outlook.com,(572)715-5751,Springfield,Community Support
2025-07-23,Theory Training,11%,65%,Janet,Lewis,janet.lewis100@hotmail.com,(830)339-8992,Worcester,None
2025-07-22,Theory Training,19%,62%,Brandon,Holloway,brandon.holloway101@gmail.com,(518)566-7807,Springfield,None
2025-07-03,Theory Training,4%,67%,Nina,Brown,nina.brown102@hotmail.com,(960)691-1854,Worcester,None
2025-07-12,Theory Training,6%,51%,Monica,Nelson,monica.nelson103@hotmail.com,(686)540-2073,Boston,None
2025-07-17,Theory Training,15%,56%,Edward,Richards,edward.richards104@hotmail.com,(409)770-8178,Springfield,Financial Stress
2025-06-29,Theory Training,3%,59%,Kimberly,Myers,kimberly.myers105@hotmail.com,(678)866-7702,Worcester,None
2025-07-16,Theory Training,18%,52%,Erin,Hickman,erin.hickman106@hotmail.com,(486)245-7948,Boston,Transportation
2025-07-08,Theory Training,9%,62%,Erica,Ray,erica.ray107@hotmail.com,(756)353-9093,Boston,Transportation
2025-07-11,Theory Training,10%,60%,James,Chen,james.chen108@yahoo.com,(699)947-7046,Springfield,None
2025-07-09,Theory Training,8%,57%,Owen,Moore,owen.moore109@outlook.com,(461)379-5362,Springfield,Transportation
2025-07-15,Theory Training,11%,54%,Jose,Mack,jose.mack110@yahoo.com,(807)409-7183,Worcester,Housing Insecurity
2025-07-17,Theory Training,2%,59%,Mary,Mcdonald,mary.mcdonald111@gmail.com,(537)714-9098,Springfield,None
2025-07-14,Theory Training,0%,63%,Kendra,Peterson,kendra.peterson112@hotmail.com,(231)706-4896,Boston,None
2025-07-06,Theory Training,6%,55%,Heidi,Dunn,heidi.dunn113@yahoo.com,(356)478-4820,Springfield,Financial Stress
2025-06-30,Theory Training,16%,67%,Maya,Patel,maya.patel114@protonmail.com,(611)482-1573,Boston,None
2025-07-05,Theory Training,7%,51%,Gloria,Young,gloria.young115@gmail.com,(743)293-9276,Springfield,None
2025-07-02,Theory Training,7%,50%,Zoe,Ng,zoe.ng116@outlook.com,(590)972-8981,Springfield,Transportation
2025-06-30,Theory Training,19%,50%,Virginia,Baker,virginia.baker117@yahoo.com,(873)392-5557,Springfield,None
2025-07-09,Theory Training,13%,63%,Theo,Scott,theo.scott118@yahoo.com,(398)689-9860,Boston,Transportation
2025-06-28,Theory Training,5%,52%,Angela,Weber,angela.weber119@protonmail.com,(930)696-9663,Worcester,Transportation
2025-07-15,Theory Training,20%,64%,Jon,Bartlett,jon.bartlett120@outlook.com,(924)520-3173,Springfield,None
2025-07-03,Theory Training,19%,52%,Alex,Rivera,alex.rivera121@yahoo.com,(276)243-2144,Springfield,None
2025-07-13,Theory Training,4%,66%,Paula,Green,paula.green122@protonmail.com,(532)433-5981,Boston,Housing Insecurity
2025-07-03,Theory Training,11%,56%,Miguel,Martin,miguel.martin123@hotmail.com,(877)339-3902,Boston,None
2025-07-09,Theory Training,4%,58%,Brian,Lee,brian.lee124@hotmail.com,(780)879-3424,Worcester,Transportation
2025-07-04,Theory Training,1%,52%,David,Wagner,david.wagner125@hotmail.com,(278)754-6415,Boston,None
2025-06-30,Theory Training,14%,56%,George,Richardson,george.richardson126@outlook.com,(436)182-3235,Worcester,Housing Insecurity
2025-07-09,Theory Training,28%,56%,Kevin,Rice,kevin.rice127@yahoo.com,(812)722-2361,Springfield,Childcare
2025-07-16,Skills Training,60%,61%,John,Watkins,john.watkins128@yahoo.com,(345)554-8558,Boston,Medical
2025-07-09,Skills Training,63%,85%,Jennifer,Payne,jennifer.payne129@outlook.com,(964)421-3812,Worcester,Court Obligations
2025-07-13,Theory Training,32%,73%,Javier,Johnston,javier.johnston130@hotmail.com,(417)795-9953,Springfield,Financial Stress
2025-07-18,Skills Training,51%,68%,Robert,Nelson,robert.nelson131@yahoo.com,(668)617-8195,Boston,Court Obligations
2025-07-21,Skills Training,38%,67%,Daniel,Evans,daniel.evans132@yahoo.com,(941)611-7361,Worcester,Medical
2025-07-20,Skills Training,49%,57%,Mark,Ross,mark.ross133@gmail.com,(235)476-8535,Worcester,Childcare
2025-07-11,Theory Training,37%,63%,Donald,Rich,donald.rich134@yahoo.com,(778)636-7098,Springfield,Childcare
2025-07-15,Theory Training,51%,66%,Danielle,Campos,danielle.campos135@hotmail.com,(702)717-8773,Boston,Medical
2025-07-17,Skills Training,64%,70%,Amanda,Wilson,amanda.wilson136@gmail.com,(363)350-6599,Springfield,Financial Stress
2025-07-08,Theory Training,39%,78%,Carlos,Campbell,carlos.campbell137@hotmail.com,(257)510-7570,Worcester,Court Obligations
2025-07-10,Skills Training,65%,78%,Kelly,Taylor,kelly.taylor138@hotmail.com,(438)184-5616,Worcester,Childcare
2025-07-11,Skills Training,42%,63%,Victor,Ellison,victor.ellison139@gmail.com,(329)145-7333,Worcester,Court Obligations
2025-07-18,Theory Training,54%,55%,Samuel,Alvarez,samuel.alvarez140@yahoo.com,(905)307-1444,Springfield,Childcare
2025-07-13,Theory Training,25%,81%,Jason,Hawkins,jason.hawkins141@outlook.com,(792)705-7806,Boston,Financial Stress
2025-07-21,Theory Training,29%,64%,Ashley,Ramirez,ashley.ramirez142@outlook.com,(978)608-7058,Worcester,Childcare
2025-07-07,Theory Training,42%,67%,Candace,Lin,candace.lin143@protonmail.com,(803)908-7466,Worcester,Childcare
2025-07-09,Theory Training,26%,83%,Sue,Peterson,sue.peterson144@gmail.com,(707)757-9841,Boston,Childcare
2025-07-16,Skills Training,37%,67%,Diane,Tucker,diane.tucker145@outlook.com,(409)788-7311,Worcester,Court Obligations
2025-07-19,Theory Training,35%,61%,Ray,Jackson,ray.jackson146@outlook.com,(416)446-2257,Worcester,Medical
2025-07-20,Theory Training,25%,65%,Shelby,McGuire,shelby.mcguire147@gmail.com,(761)385-3356,Springfield,Financial Stress
2025-07-18,Skills Training,54%,66%,Laurie,Flores,laurie.flores148@hotmail.com,(471)605-4883,Worcester,Childcare
2025-07-22,Skills Training,52%,64%,Janet,Lewis,janet.lewis149@protonmail.com,(458)248-4493,Worcester,Medical
2025-07-20,Theory Training,52%,56%,Brandon,Holloway,brandon.holloway150@hotmail.com,(740)739-7706,Worcester,Court Obligations
2025-07-10,Skills Training,61%,59%,Nina,Brown,nina.brown151@yahoo.com,(329)730-2270,Springfield,Childcare
2025-07-30,Skills Training,74%,81%,Monica,Nelson,monica.nelson152@yahoo.com,(855)983-2630,Boston,Housing Insecurity
2025-07-31,Theory Training,53%,89%,Edward,Richards,edward.richards153@protonmail.com,(427)793-2486,Springfield,None
2025-07-30,Skills Training,37%,70%,Kimberly,Myers,kimberly.myers154@hotmail.com,(329)939-1601,Boston,Transportation
2025-07-28,Skills Training,46%,83%,Erin,Hickman,erin.hickman155@gmail.com,(826)578-5229,Worcester,Transportation
2025-07-24,Skills Training,68%,79%,Erica,Ray,erica.ray156@outlook.com,(678)459-8487,Springfield,Community Support
2025-07-24,Skills Training,70%,79%,James,Chen,james.chen157@outlook.com,(923)140-6018,Springfield,Transportation
2025-07-25,Skills Training,69%,71%,Owen,Moore,owen.moore158@hotmail.com,(549)189-8489,Worcester,None
2025-07-25,Skills Training,38%,80%,Jose,Mack,jose.mack159@protonmail.com,(923)313-4559,Boston,Community Support
2025-07-26,Skills Training,50%,86%,Mary,Mcdonald,mary.mcdonald160@gmail.com,(453)559-1701,Worcester,None
2025-07-29,Skills Training,75%,86%,Kendra,Peterson,kendra.peterson161@hotmail.com,(211)851-1321,Worcester,Transportation
2025-07-27,Theory Training,60%,85%,Heidi,Dunn,heidi.dunn162@protonmail.com,(637)281-2332,Worcester,Transportation
2025-08-01,Skills Training,66%,84%,Maya,Patel,maya.patel163@hotmail.com,(749)569-2220,Springfield,Community Support
2025-07-30,Skills Training,43%,86%,Gloria,Young,gloria.young164@yahoo.com,(402)163-1009,Springfield,Housing Insecurity
2025-07-31,Skills Training,60%,74%,Zoe,Ng,zoe.ng165@hotmail.com,(821)359-6855,Springfield,None
2025-07-30,Theory Training,38%,81%,Virginia,Baker,virginia.baker166@yahoo.com,(825)921-6303,Boston,None
2025-07-29,Theory Training,58%,75%,Theo,Scott,theo.scott167@gmail.com,(662)617-7358,Worcester,Transportation
2025-08-01,Skills Training,74%,90%,Angela,Weber,angela.weber168@yahoo.com,(669)702-1072,Boston,Housing Insecurity
2025-07-30,Skills Training,75%,83%,Jon,Bartlett,jon.bartlett169@gmail.com,(868)976-8859,Boston,Community Support
2025-07-31,Theory Training,38%,83%,Alex,Rivera,alex.rivera170@yahoo.com,(833)647-5285,Boston,None
2025-07-31,Theory Training,50%,71%,Paula,Green,paula.green171@protonmail.com,(266)770-7934,Boston,Transportation
2025-07-25,Skills Training,75%,79%,Miguel,Martin,miguel.martin172@gmail.com,(850)620-5147,Worcester,Housing Insecurity
2025-07-26,Skills Training,62%,84%,Brian,Lee,brian.lee173@outlook.com,(841)967-6307,Worcester,None
2025-08-01,Theory Training,37%,78%,David,Wagner,david.wagner174@hotmail.com,(850)410-5702,Worcester,Community Support
2025-07-25,Skills Training,75%,79%,George,Richardson,george.richardson175@yahoo.com,(829)312-9949,Springfield,Transportation
2025-07-28,Skills Training,67%,67%,Kevin,Rice,kevin.rice176@gmail.com,(331)428-5124,Boston,Transportation
2025-07-27,Job Searching,80%,74%,John,Watkins,john.watkins177@yahoo.com,(233)329-7692,Worcester,Medical
2025-07-31,Skills Training,74%,74%,Jennifer,Payne,jennifer.payne178@protonmail.com,(953)642-1948,Worcester,None
2025-07-30,Skills Training,88%,78%,Javier,Johnston,javier.johnston179@yahoo.com,(636)492-7146,Worcester,None
2025-07-29,Skills Training,73%,65%,Robert,Nelson,robert.nelson180@protonmail.com,(651)987-5600,Boston,Medical
2025-07-30,Skills Training,69%,65%,Daniel,Evans,daniel.evans181@hotmail.com,(558)365-5740,Boston,Medical
2025-07-28,Skills Training,63%,64%,Mark,Ross,mark.ross182@yahoo.com,(498)670-5660,Worcester,Medical
2025-07-25,Skills Training,77%,66%,Donald,Rich,donald.rich183@outlook.com,(365)169-6447,Springfield,Medical
2025-07-24,Job Searching,86%,72%,Danielle,Campos,danielle.campos184@protonmail.com,(453)180-8795,Boston,None
2025-08-01,Skills Training,60%,75%,Amanda,Wilson,amanda.wilson185@gmail.com,(505)466-3921,Springfield,None
2025-07-26,Skills Training,87%,81%,Carlos,Campbell,carlos.campbell186@hotmail.com,(922)246-9238,Boston,Community Support
2025-07-28,Job Searching,84%,82%,Kelly,Taylor,kelly.taylor187@outlook.com,(546)907-3498,Springfield,None
2025-07-31,Skills Training,76%,64%,Victor,Ellison,victor.ellison188@protonmail.com,(282)495-6642,Springfield,Community Support
2025-07-20,Skills Training,60%,64%,Samuel,Alvarez,samuel.alvarez189@yahoo.com,(738)172-2902,Springfield,Housing Insecurity
2025-07-23,Skills Training,70%,75%,Jason,Hawkins,jason.hawkins190@outlook.com,(459)384-6433,Springfield,Community Support
2025-07-21,Skills Training,50%,79%,Ashley,Ramirez,ashley.ramirez191@gmail.com,(421)781-9094,Boston,None
2025-07-21,Skills Training,44%,64%,Candace,Lin,candace.lin192@yahoo.com,(956)814-8916,Springfield,Community Support
2025-07-21,Skills Training,50%,75%,Sue,Peterson,sue.peterson193@outlook.com,(331)157-2955,Springfield,Transportation
2025-07-25,Theory Training,46%,63%,Diane,Tucker,diane.tucker194@yahoo.com,(287)188-4261,Springfield,None
2025-07-25,Skills Training,69%,74%,Ray,Jackson,ray.jackson195@protonmail.com,(711)555-4490,Worcester,Community Support
2025-07-20,Skills Training,43%,68%,Shelby,McGuire,shelby.mcguire196@yahoo.com,(469)459-9389,Worcester,Transportation
2025-07-28,Skills Training,63%,72%,Laurie,Flores,laurie.flores197@protonmail.com,(311)109-4619,Boston,Transportation
2025-07-22,Job Searching,80%,73%,Janet,Lewis,janet.lewis198@hotmail.com,(720)284-1449,Worcester,None
2025-07-30,Skills Training,65%,72%,Brandon,Holloway,brandon.holloway199@hotmail.com,(898)141-4458,Boston,Community Support
2025-07-30,Skills Training,61%,70%,Nina,Brown,nina.brown200@outlook.com,(801)706-6758,Worcester,None
